# Time 	 RV - Systemic RV - Quadratic Trend 	 RV Error 	 GP Component 	 Full Model (GP + Keplerians) 	 Instrument
2458872.0164514272 	 -14.3296987348 	 5.8730650590 	 0.0000000000 	 -13.8303375680 HPF 
2458893.9459689846 	 -16.5426391064 	 17.3829580113 	 0.0000000000 	 -21.3587620138 HPF 
2458894.9487395976 	 38.3317524545 	 11.5910031983 	 0.0000000000 	 7.1161590942 HPF 
2458905.9132500323 	 -15.5628012506 	 15.7243475134 	 0.0000000000 	 0.4154022527 HPF 
2458918.8788808924 	 -17.4389384190 	 28.0745505856 	 0.0000000000 	 0.2134253708 HPF 
2458925.8485978870 	 27.2712905128 	 18.3935282433 	 0.0000000000 	 17.9981222620 HPF 
2458928.8675804213 	 36.9466782732 	 9.7458357228 	 0.0000000000 	 20.3859743356 HPF 
2458950.8007870140 	 7.6999899084 	 14.5036284342 	 0.0000000000 	 10.0540562063 HPF 
2458973.9616460185 	 25.8854663264 	 7.1373821993 	 0.0000000000 	 22.4400613771 HPF 
2459002.8867292693 	 9.3134829147 	 9.8238801810 	 0.0000000000 	 11.2683197213 HPF 
2459032.7918772888 	 10.8735115062 	 6.3727471915 	 0.0000000000 	 16.2236167995 HPF 
2459036.7859558472 	 31.7396440608 	 6.1745463270 	 0.0000000000 	 22.1544062381 HPF 
2459065.7022815291 	 -6.6294503639 	 5.2847407201 	 0.0000000000 	 -2.2666168969 HPF 
2459084.6501677865 	 9.9392652030 	 4.9318871548 	 0.0000000000 	 10.3451790065 HPF 
2459090.6362277200 	 -18.0899657115 	 4.9340742219 	 0.0000000000 	 -21.7517079495 HPF 
2459091.6271613287 	 -0.2151830636 	 5.1525956331 	 0.0000000000 	 -5.7200151167 HPF 
2459095.6225088304 	 16.8195166402 	 7.0877487352 	 0.0000000000 	 4.0678052954 HPF 
2459237.0016899970 	 0.4205161347 	 6.2804004700 	 0.0000000000 	 7.7125881327 HPF 
2459245.9850697857 	 3.4051839696 	 6.5168274969 	 0.0000000000 	 2.7311231711 HPF 
2459246.9848901434 	 -23.3106606180 	 5.0217790262 	 0.0000000000 	 -22.5050912308 HPF 
2459252.9597098902 	 11.1560829905 	 9.5987274578 	 0.0000000000 	 19.5572871902 HPF 
2459268.9169956404 	 -28.9697715584 	 6.7170222724 	 0.0000000000 	 -19.2291101166 HPF 
2459269.9146091701 	 -23.0402767146 	 9.1944241416 	 0.0000000000 	 -11.0708537344 HPF 
2459270.9169308306 	 13.0950346752 	 8.1569490343 	 0.0000000000 	 20.6851819450 HPF 
2459275.9013822209 	 1.5606663165 	 7.4671517576 	 0.0000000000 	 -4.6344292132 HPF 
2459277.8900878266 	 -5.8791599557 	 7.5851844654 	 0.0000000000 	 7.4813254338 HPF 
